doi,year,title,source_id,source_title,retracted,area,category,intext_citation.section,intext_citation.pointer,intext_citation.intent,intext_citation.sentiment,intext_citation.section.ret_mention
10.1080/10410236.2013.831685,2014,The “Trust” Heuristic: Arguments from Authority in Public Health,issn:1041-0236; issn:1532-7027,Health Communication,no,Social Sciences;;,"Communication;
Health (social science);;",Conclusions;;,"Wakefield et al., 1998",credits;;,neutral;;,no;;
10.1093/phe/phs023,2012,Why One Should Do One’s Bit: Thinking about Free Riding in the Context of Public Health Ethics ,issn:1754-9973; issn:1754-9981,Public Health Ethics,no,"Medicine;;
Nursing;;","Health Policy;;
Issues, Ethics and Legal Aspects;;",“A more moderate stance”;Middle Section;;,"Wakefield et al., 1998",discusses;;,negative;;,no;;
10.1002/aur.1854,2017,Gastrointestinal symptoms in autism spectrum disorder: A review of the literature on ascertainment and prevalence,issn:1939-3792,Autism Research,no,"Medicine;;
Neuroscience;;","Genetics (clinical);
Neurology (clinical);;
Neuroscience (miscellaneous);;",Method;;,"Wakefield et al., 1998",obtains background from;;,negative;;,yes;;
10.1080/1028415x.2001.11747348,2001,Reports on Dietary Intervention in Autistic Disorders,issn:1028-415X; issn:1476-8305,Nutritional Neuroscience,no,"Medicine;;
Neuroscience;;
Nursing;;","Medicine (miscellaneous);;
Neuroscience (miscellaneous);;
Nutrition and Dietetics;;",discussion;;,"Wakefield et al., 1998",obtains support from;;,Positive;;,no;;
10.1097/00041444-200106000-00008,2001,No association between the 4G/5G polymorphism of the plasminogen activator inhibitor-1 gene promoter and autistic disorder,issn:0955-8829,Psychiatric Genetics,no,"Medicine;;
Neuroscience;;
Biochemistry, Genetics and Molecular Biology;;","Genetics (clinical);
Psychiatry and Mental Health;;
Biological Psychiatry;;
Genetics;;",none,"Wakefield et al., 1998",cites for information;;,neutral;;,no;;
10.1080/13548500701235732,2008,"The role of message framing in promoting MMR vaccination: Evidence of a loss-frame advantage

",issn:1354-8506; issn:1465-3966,"Psychology, Health & Medicine",no,"Medicine;;
Psychology;;","Psychiatry and Mental Health;;
Applied Psychology;
Clinical Psychology;;",introduction;;,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1111/j.1469-7610.2004.00391.x,2005,Effects of familial risk factors and placeof birth on the risk of autism: a nationwideregister-based study,issn:0021-9630; issn:1469-7610,Journal Of Child Psychology And Psychiatry,no,"Medicine;;
Psychology;;","Pediatrics, Perinatology and Child Health;
Psychiatry and Mental Health;;
Developmental and Educational Psychology;;",introduction;;,"Wakefield et al., 1998",cites as evidence;;,neutral;;,no;;
10.1002/9781118625392.wbecp573,2015,Illusory Correlation,,The Encyclopedia Of Clinical Psychology,no,,,"“Illusory Correlation and Erroneous Cultural Beliefs ”;Middle Section;;
","Wakefield et al., 1998","qualifies;;
",negative;;,no;;
10.1080/03054985.2013.764757,2013,Communication strategies for enhancing qualification users’ understanding of educational assessment: recommendations from other public interest fields,issn:0305-4985; issn:1465-3915,Oxford Review Of Education,no,Social Sciences;;,Education;;,"“Recommendation 2: Use applied and interpretive information, not description and explanation”;Middle Section;;","Wakefield et al., 1998",qualifies;;,neutral;;,yes;;
10.1002/9781118858080.ch7,2014,Gap Analytics,isbn:9781118858080; isbn:9781118128336,The Fitness Of Information - Wiley Series In Probability And Statistics,no,Social Sciences ,Social Sciences (miscellaneous),"“EXAMPLES OF DUAL-MAP OVERLAYS”;Middle Section;;
“EXAMPLES OF DUAL-MAP OVERLAYS”;Middle Section;;
“EXAMPLES OF DUAL-MAP OVERLAYS”;Middle Section;;","Wakefield et al., 1998","describes;;
Obtains background from;;
Obtains background from;;
","neutral;;
negative;;
neutral;;",yes;;
10.3928/02793695-20100506-02,2010,"Update on Autism and Vaccines
",issn:0279-3695,Journal Of Psychosocial Nursing And Mental Health Services,no,Nursing;;,"Nursing (miscellaneous);
Psychiatric Mental Health;;","middle section; “The 1998 Lancet Study”;;
middle section; “New Evidence”;;
middle section; “The Lancet Retracts”;;
middle section; “The Lancet Retracts”;;","Wakefield et al., 1998","describes;;
disputes;;
discusses;;
discusses;;","neutral;;
neutral;;
negative;;
negative;;",yes;;
10.1177/0038038505050536,2005,"Leaps of Faith’ and MMR: An Empirical Study of Trust



",issn:0038-0385; issn:1469-8684,Sociology,no,Social Sciences;;,Sociology and Political Science;;,Background;;,"Wakefield et al., 1998",discusses;;,neutral;;,no;;
10.3109/1547691x.2010.538749,2011,Theoretical aspects of autism: biomarkers—a review ,issn:1547-691X; issn:1547-6901,Journal Of Immunotoxicology,no,"Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Toxicology;;",“Neuropathologies in autism”;Middle Section,"Wakefield et al., 1998",cites for information;;,neutral;;,no;;
10.1111/j.1744-6171.2012.00325.x,2012,Investigation of Autism Comorbidities and Associations in a School‐Based Community Sample,issn:1073-6077,Journal Of Child And Adolescent Psychiatric Nursing,no,"Medicine;;
Nursing;;","Medicine (miscellaneous);
Psychiatry and Mental Health;;
Pediatrics;
Psychiatric Mental Health;;",Introduction,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1177/1362361302006002002,2002,"Prevalence of childhood disintegrative disorder 
",issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,Background;;,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1177/0963662512445012,2012,Similar challenges but different responses: Media coverage of measles vaccination in the UK and China,issn:0963-6625; issn:1361-6609,Public Understanding Of Science,no,"Arts and Humanities;;
Psychology;;
Social Sciences;;","Arts and Humanities (miscellaneous);;
Developmental and Educational Psychology;;
Communication;;",Introduction,"Wakefield et al., 1998",credits;;,neutral;;,no;;
10.3928/02793695-20150309-01,2015,"Update on Autism Spectrum Disorder 
",issn:0279-3695,Journal Of Psychosocial Nursing And Mental Health Services,no,Nursing;;,"Nursing (miscellaneous);
Psychiatric Mental Health;;",“THE ERRONEOUS ASSOCIATION OF AUTISM WITH VACCINES”;Middle Section;;,"Wakefield et al., 1998",credits;;,negative;;,yes;;
10.1089/omi.2010.0139,2011,"Publics and Vaccinomics: Beyond Public Understanding of Science 
",issn:1536-2310; issn:1557-8100,Omics: A Journal Of Integrative Biology,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Biochemistry;
Biotechnology;
Genetics;
Molecular Biology;
Molecular Medicine;;
Medicine (miscellaneous);;",“The Social Contexts of Vaccines: Understanding Receptivity and Resistance ”;Middle Section;;,"Wakefield et al., 1998",discusses;;,neutral;;,yes;;
10.1111/cch.12453,2017,"Factors influencing uptake of measles, mumps and rubella (MMR) immunization in site‐dwelling Gypsy, Roma and Traveller (G&T) communities: a qualitative study of G&T parents' beliefs and experiences",issn:0305-1862; issn:1365-2214,"Child: Care, Health And Development",no,"Medicine;;
Psychology;;","Pediatrics, Perinatology and Child Health;
Public Health, Environmental and Occupational Health;;
Developmental and Educational Psychology;;",Introduction,"Wakefield et al., 1998",credits;;,neutral;;,no;;
10.1057/9781137023001_3,2012,Commodifying Autism: The Cultural Contexts of ‘Disability’ in the Academy ,isbn:9781349318230; isbn:9781137023001,Disability And Social Theory,no,Social Sciences ,Social Sciences (miscellaneous),"“Autism as thing: Becoming commodity through abstraction"";Middle Section","Wakefield et al., 1998",cites for information;;,neutral;;,no;;
10.1002/1097-0355(200101/04)22:1<132::aid-imhj5>3.0.co;2-9,2001,The long‐term psychobiological consequences of infant emotions: Prescriptions for the twenty‐first century,issn:0163-9641; issn:1097-0355,Infant Mental Health Journal,no,"Medicine;;
Psychology;;
","Pediatrics, Perinatology and Child Health;
Psychiatry and Mental Health;;
Developmental and Educational Psychology;;",middle section;“PATHOLOGIES OF “BONDING”—THE CASE OF AUTISM”;;,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1089/acm.2004.10.1033,2004,"Pilot Study of a Moderate Dose Multivitamin/Mineral Supplement for Children with Autistic Spectrum Disorder


",issn:1075-5535; issn:1557-7708,The Journal Of Alternative And Complementary Medicine,no,Medicine;;,Complementary and Alternative Medicine;;,introduction;;,"Wakefield et al., 1998",qualifies;;,neutral;;,no;;
10.1002/9781118911389.hautc46,2014,Alternative Treatments,,"Handbook Of Autism And Pervasive Developmental Disorders, Fourth Edition",no,,,“ALTERNATIVE TREATMENTS FOR AUTISM”;Middle Section;;,"Wakefield et al., 1998",cites for information;;,neutral;;,no;;
10.1007/978-0-230-21399-9_13,2004,"Chronic Inflammator y Bowel Disease, Ulcerative Colitis, Crohn’s Disease and Colorectal Cancer",isbn:9780333922637; isbn:9780230213999,Disorders And Interventions,no,Nursing,Nursing (miscellaneous),middle section;“Aetiology and Pre-disposing Factors ”;;,"Wakefield et al., 1998","disputes;;
",neutral;;,no;;
10.1002/9780470710470.refs,2010,An assessment strategy to promote judgement and understanding of statistics in medical applications ,isbn:9780470710470; isbn:9780470745328,Assessment Methods In Statistical Education,no,Mathematics,Mathematics (miscellaneous),Background;;,"Wakefield et al., 1998",critiques;;,negative;;,yes;;
10.1002/mrdd.10029,2002,The epidemiology of autistic spectrum disorders: is the prevalence rising?,issn:1080-4013; issn:1098-2779,Mental Retardation And Developmental Disabilities Research Reviews,no,"Medicine;;
Psychology;;","Genetics (clinical);
Pediatrics, Perinatology and Child Health;;
Neuropsychology and Physiological Psychology;;",middle section;“Possible Causes and Relation to Age of Onset ”;;,"Wakefield et al., 1998",credits;;,negative;;,no;;
10.1080/10937400600882079,2006,"Evidence of Toxicity, Oxidative Stress, and Neuronal Insult in Autism

",issn:1093-7404; issn:1521-6950,"Journal Of Toxicology And Environmental Health, Part B",no,"Environmental Science;;
Pharmacology, Toxicology and Pharmaceutics;;","Health, Toxicology and Mutagenesis;;
Toxicology;;","introduction;;
Middle section; “Evidence for a Glutathione Deficiency and Oxidative Stress in Children with Autism”;;","Wakefield et al., 1998","cites as evidence;;
cites as evidence;;","neutral;;
neutral;;",no;;
10.1046/j.1365-2141.2001.02543.x,2001,"Progressive reduction in treatment‐related deaths in Medical Research Council childhood lymphoblastic leukaemia trials from 1980 to 1997 (UKALL VIII, X and XI)",issn:0007-1048; issn:1365-2141,British Journal Of Haematology,no,Medicine;;,Hematology;;,discussion;;,"Wakefield et al., 1998",credits;;,negative;;,no;;
10.1177/1053451217692564,2017,Facilitated Communication: The Resurgence of a Disproven Treatment for Individuals With Autism,issn:1053-4512; issn:1538-4810,Intervention In School And Clinic,no,"Psychology;;
Social Sciences;;","Clinical Psychology;
Developmental and Educational Psychology;;
Education;;",Introduction,"Wakefield et al., 1998",credits;;,neutral;;,no;;
10.3109/1547691x.2011.580794,2011,"Response to “Theoretical aspects of autism: Causes—A review” by Ratajczak, HV (Journal of Immunotoxicology 8:68–79, 2011)",issn:1547-691X; issn:1547-6901,Journal Of Immunotoxicology,no,"Immunology and Microbiology;;
Pharmacology, Toxicology and Pharmaceutics;;","Immunology;;
Toxicology;;",None;;,"Wakefield et al., 1998","credits;;
discusses;;","neutral;;
negative;;",yes;;
10.1177/1059840512455365,2012,Common Perceptions of Parents Requesting Personal Exemption From Vaccination ,issn:1059-8405; issn:1546-8364,The Journal Of School Nursing,no,Nursing;;,Nursing (miscellaneous);;,discussion;;,"Wakefield et al., 1998",discusses;;,negative;;,yes;;
10.1207/s15326888chc3403_4,2005,"Parental Report of Eating Problems and Gastrointestinal Symptoms in Children With Pervasive Developmental Disorders 
",issn:0273-9615; issn:1532-6888,Children'S Health Care,no,"Medicine;;
Psychology;;
","Pediatrics, Perinatology and Child Health;;
Clinical Psychology;
Developmental and Educational Psychology;;",introduction;;,"Wakefield et al., 1998",cites for information;;,neutral;;,no;;
10.1007/bf03379555,2009,"A Review on the Cognitive Neuroscience of Autism
",issn:2510-2788; issn:1802-9698,Activitas Nervosa Superior,no,"Medicine;;
Neuroscience;;","Neurology (clinical); Psychiatry and Mental Health;;
Behavioral Neuroscience;
Biological Psychiatry;
Cognitive Neuroscience;
Neurology;;",middle section;“ALTERNATIVE THEORIES  ”;;,"Wakefield et al., 1998",discusses;;,neutral;;,no;;
10.1525/abt.2011.73.9.3,2011,Vaccination: A Public Health Intervention That Changed History & Is Changing with History ,issn:0002-7685; issn:1938-4211,The American Biology Teacher,no,"Agricultural and Biological Sciences;;
Social Sciences;;","Agricultural and Biological Sciences (miscellaneous);;
Education;;","“Vaccines & Autism ”;Middle Section;;
“Vaccines & Autism ”;Middle Section;;","Wakefield et al., 1998","discusses;;
critiques;;","neutral;;
negative;;",no;;
10.1177/1362361307089518,2008,"Acetaminophen (paracetamol) use, measles-mumps-rubella vaccination, and autistic disorder: The results of a parent survey",issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,introduction;;,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1056/nejmra011223,2001,"Vaccines and Vaccination
",issn:0028-4793; issn:1533-4406,New England Journal Of Medicine,no,Medicine;;,Medicine (miscellaneous);;,middle section;“SAFETY OF VACCINES”;;,"Wakefield et al., 1998",disputes;;,negative;;,no;;
10.1111/j.1469-7610.2005.01425.x,2005,"No effect of MMR withdrawal on the incidence of autism: a total population study

",issn:0021-9630; issn:1469-7610,Journal Of Child Psychology And Psychiatry,no,"Medicine;;
Psychology;;","Pediatrics, Perinatology and Child Health;
Psychiatry and Mental Health;;
Developmental and Educational Psychology;;",introduction;;,"Wakefield et al., 1998",disputes;;,neutral;;,no;;
10.1177/1362361312459111,2012,Immunization uptake in younger siblings of children with autism spectrum disorder,issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,Introduction,"Wakefield et al., 1998",discusses;;,negative;;,no;;
10.1080/08989620903328576,2009,"Dealing with Misconduct in Biomedical Research: A Review of the Problems and the Proposed Methods for Improvement

",issn:0898-9621; issn:1545-5815,Accountability In Research,no,"Medicine;;
Social Sciences;;","Medicine (miscellaneous);;
Education;
Library and Information Sciences;;",middle section;“Modes of Discovery of Scientific Misconduct  ”;;,"Wakefield et al., 1998",critiques;;,negative;;,yes;;
10.1080/09581596.2014.895799,2014,Culture and behaviour in mass health interventions: lessons from the global polio eradication initiative,issn:0958-1596; issn:1469-3682,Critical Public Health,no,Medicine,"Public Health, Environmental and Occupational Health;;",“Culture and health: vaccines and resistance”;Middle Section;;,"Wakefield et al., 1998",critiques;;,negative;;,no;;
10.1108/14777260510608970,2005,MMR – public policy in crisis: whose tragedy?,issn:1477-7266,Journal Of Health Organization And Management,no,"Business, Management and Accounting;;
Medicine;;","Business, Management and Accounting (miscellaneous);;
Health Policy;;","introduction;;
Middle section; “The MMR crisis”;;","Wakefield et al., 1998","credits;;
discusses;;","neutral;;
neutral;;",no;;
10.1111/j.1945-1474.2003.tb01099.x,2003,A Quality-Driven Physician Compensation Model: Four-Year Follow-wp Study ,issn:1062-2551,Journal For Healthcare Quality,no,Medicine;;,"Health Policy;Public Health, Environmental and Occupational Health;;",Conclusions;;,"Wakefield et al., 1998",discusses;;,neutral;;,no;;
10.1089/acm.1999.5.575,1999,The Abdominal Brain and Enteric Nervous System,issn:1075-5535; issn:1557-7708,The Journal Of Alternative And Complementary Medicine,No,Medicine,Complementary and Alternative Medicine,"introduction;;
Middle section; “AUTISM WITH INTESTINAL FEATURES”;;","Wakefield et al., 1998","cites for information;;
discusses;;","neutral;;
neutral;;",no;;
10.1002/asi.22755,2012,A visual analytic study of retracted articles in scientific literature,issn:1532-2882,Journal Of The American Society For Information Science And Technology,no,"Computer Science;;
Decision Sciences;;
Social Sciences;;","Computer Networks and Communications;
Information Systems;;
Information Systems and Management;;
Library and Information Sciences;;","Introduction;;
Results;;
Results;;","Wakefield et al., 1998","cites as evidence;;
Obtains background from;;
discusses;;","neutral;;
neutral;;
neutral;;",yes;;
10.1108/09513570610670334,2006,"Theorising accountability for NGO advocacy
",issn:0951-3574,"Accounting, Auditing & Accountability Journal",no,"Business, Management and Accounting;;
Economics, Econometrics and Finance;;","Accounting;;
Economics, Econometrics and Finance (miscellaneous);;","middle section;“Stage 3: plausibility and likelihood of acceptance of linear predictive narratives ”;;
middle section;“Stage 3: plausibility and likelihood of acceptance of linear predictive narratives ”;;
middle section;“Stage 3: plausibility and likelihood of acceptance of linear predictive narratives ”;;","Wakefield et al., 1998","discusses;;
discusses;;
discusses;;","positive;;
positive;;
neutral;;",yes;;
10.1002/asi.22798,2012,Peer review in a changing world: An international study measuring the attitudes of researchers,issn:1532-2882,Journal Of The American Society For Information Science And Technology,no,"Computer Science;;
Decision Sciences;;
Social Sciences;;","Computer Networks and Communications;
Information Systems;;
Information Systems and Management;;
Library and Information Sciences;;",Introduction,"Wakefield et al., 1998",cites as evidence;;,negative;;,no;;
10.1080/10510974.2013.855642,2014,A Threatening Space?: Stigmatization and the Framing of Autism in the News,issn:1051-0974; issn:1745-1035,Communication Studies,no,Social Sciences;;,Communication;;,"“Autism and Stigmatization ”;Middle Section;;
Method;;","Wakefield et al., 1998","discusses;;
cites for information;;","neutral;;
neutral;;",yes;;
10.1111/j.1945-1474.2003.tb01085.x,2003,Parsimonious’ Versus Patient-Centered Care: Quality Issues in Childhood Immunization,issn:1062-2551,Journal For Healthcare Quality,no,Medicine;;,"Health Policy;Public Health, Environmental and Occupational Health;;",middle section;“Patients and Their Families Should Not Have To Worry About Harm”;;,"Wakefield et al., 1998",discusses;;,neutral;;,no;;
10.12968/pnur.2001.12.2.4447,2001,"Is MMR vaccine safe?


",issn:0964-9271; issn:2052-2940,Practice Nursing,no,Nursing;;,Neuroscience (miscellaneous);;,none,"Wakefield et al., 1998",critiques;;,negative;;,no;;
10.1177/1362361398024006,1998,Clinical Features Associated with Autism: Observations of Symptoms Outside the Diagnostic Boundaries of Autistic Spectrum Disorders,issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,"discussion;;
discussion;;","Wakefield et al., 1998","discusses;;
Cites as evidence;;","neutral;;
neutral;;",no;;
10.7554/elife.02956,2014,"Financial costs and personal consequences of research misconduct resulting in retracted publications
",issn:2050-084X,Elife,no,"Biochemistry, Genetics and Molecular Biology;;
Immunology and Microbiology;;
Medicine;;
Neuroscience;;","Biochemistry, Genetics and Molecular Biology (miscellaneous);;
Immunology and Microbiology (miscellaneous);;
Medicine (miscellaneous);;
Neuroscience (miscellaneous);;",Conclusions;;,"Wakefield et al., 1998",qualifies;;,negative;;,no;;
10.1093/heapro/daq048,2010,"Mass media barriers to social marketing interventions: the example of sun protection in the UK
",issn:0957-4824; issn:1460-2245,Health Promotion International,no,"Medicine;;
Social Sciences;;","Public Health, Environmental and Occupational Health;;
Health (social science);;",middle section; “INFLUENCE OF MEDIA COVERAGE ON HEALTH BEHAVIOUR“;;,"Wakefield et al., 1998",credits;;,neutral;;,no;;
10.1080/17470218.2013.821510,2014,Bias Neglect: A Blind Spot in the Evaluation of Scientific Results,issn:1747-0218; issn:1747-0226,Quarterly Journal Of Experimental Psychology,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;
Psychology;;","Physiology;;
Medicine (miscellaneous);
Physiology (medical);;
Experimental and Cognitive Psychology;
Neuropsychology and Physiological Psychology;
Psychology (miscellaneous);;","Introduction;;
","Wakefield et al., 1998",cites as evidence;;,negative;;,no;;
10.1177/0306312711435832,2012,Credibility battles in the autism litigation,issn:0306-3127; issn:1460-3659,Social Studies Of Science,no,"Arts and Humanities;;
Social Sciences;;","History;
History and Philosophy of Science;;
Social Sciences (miscellaneous);;","“The case against thimerosal”;Middle Section;;
“The case against the MMR”;Middle Section;;","Wakefield et al., 1998","credits;;
discusses;;","neutral;;
neutral;;",no;;
10.1177/1362361300004002008,2000,"Feeding Patterns in Autism
",issn:1362-3613; issn:1461-7005,Autism,No,Psychology,Developmental and Educational Psychology,None,"Wakefield et al., 1998",cites for information;;,Positive;;,no;;
10.1177/0306312715600278,2015,Adjudicating non-knowledge in the Omnibus Autism Proceedings,issn:0306-3127; issn:1460-3659,Social Studies Of Science,no,"Arts and Humanities;;
Social Sciences;;","History;
History and Philosophy of Science;;
Social Sciences (miscellaneous);;",“Ontology”;Middle Section;;,"Wakefield et al., 1998",cites for information;;,neutral;;,no;;
10.1177/1075547012450951,2012,"News Framing of Autism: Understanding Media Advocacy and the Combating Autism Act 
",issn:1075-5470; issn:1552-8545,Science Communication,no,Social Sciences;;,Sociology and Political Science;;,"Introduction;;
Method;;
Discussion; Conclusions;;","Wakefield et al., 1998","disputes;;
disputes;;
discusses;;
","Neutral;;
negative;;
neutral;;",yes;;
10.1007/978-3-319-30925-5_9,2016,"Fad, Pseudoscientific, and Controversial Interventions 
",isbn:9783319309231; isbn:9783319309255,Evidence-Based Practices In Behavioral Health - Early Intervention For Young Children With Autism Spectrum Disorder,no,"Medicine;;
Nursing;;","Pediatrics, Perinatology and Child Health;;
Pediatrics;;","“The Rise in Popularity of Fad, Pseudoscientific, and Controversial Treatment”;Middle Section;;","Wakefield et al., 1998",disputes;;,negative;;,no;;
10.1002/9781119426981.ch3,2017,Approaches to Providing Medical Care,isbn:9781119426981; isbn:9781118586624,Essential Clinical Guide To Understanding And Treating Autism,no,Medicine,Internal medicine,“IMMUNIZATIONS AND AUTISM”;Middle Section;;,"Wakefield et al., 1998",credits;;,negative;;,no;;
